Empresa;Número do Documento;Ano Fiscal;Data do Documento;Tipo de Documento;Número do Item;Material;Vendedor;Quantidade; Valor em Moeda Local ; Valor em Moeda Estrangeira 
1000;183653;2023;08/11/2023;VF;1;PR029;VD033;16; R$ 4.161,60 ; R$ 4.161,60 
1000;183654;2023;08/11/2023;VF;1;PR050;VD036;10; R$ 345,45 ; R$ 345,45 
1000;183654;2023;08/11/2023;VF;2;PR045;VD045;3; R$ 237,08 ; R$ 237,08 
1000;183654;2023;08/11/2023;VF;3;PR053;VD022;10; R$ 543,91 ; R$ 543,91 
1000;183655;2023;08/11/2023;VF;1;PR042;VD020;3; R$ 167,99 ; R$ 167,99 
1000;183656;2023;07/11/2023;VF;1;PR049;VD019;4; R$ 132,92 ; R$ 132,92 
1000;183656;2023;07/11/2023;VF;2;PR045;VD015;18; R$ 1.357,20 ; R$ 1.357,20 
1000;183657;2023;07/11/2023;VF;1;PR037;VD029;6; R$ 915,60 ; R$ 915,60 
2000;183658;2023;07/11/2023;VF;1;PR021;VD017;10; R$ 3.331,90 ; R$ 3.331,90 
1000;183658;2023;07/11/2023;VF;2;PR034;VD045;8; R$ 719,20 ; R$ 719,20 
1000;183659;2023;07/11/2023;VF;1;PR047;VD041;8; R$ 2.388,78 ; R$ 2.388,78 
2000;183659;2023;06/11/2023;VF;2;PR025;VD033;4; R$ 1.295,57 ; R$ 1.295,57 
1000;183660;2023;06/11/2023;VF;1;PR056;VD025;30; R$ 2.697,00 ; R$ 2.697,00 
1000;183661;2023;06/11/2023;VF;1;PR017;VD014;10; R$ 310,96 ; R$ 310,96 
2000;183661;2023;06/11/2023;VF;2;PR057;VD025;3; R$ 269,70 ; R$ 269,70 
1000;183662;2023;06/11/2023;VF;1;PR033;VD016;3; R$ 818,69 ; R$ 818,69 
1000;183662;2023;05/11/2023;VF;2;PR029;VD038;3; R$ 818,55 ; R$ 818,55 
1000;183663;2023;05/11/2023;VF;1;PR060;VD039;7; R$ 1.386,00 ; R$ 1.386,00 
1000;183663;2023;05/11/2023;VF;2;PR031;VD029;6; R$ 1.484,70 ; R$ 1.484,70 
1000;183664;2023;04/11/2023;VF;1;PR038;VD036;21; R$ 3.240,97 ; R$ 3.240,97 
1000;183665;2023;04/11/2023;VF;1;PR054;VD041;10; R$ 499,00 ; R$ 499,00 
1000;183666;2023;04/11/2023;VF;1;PR022;VD045;1; R$ 306,00 ; R$ 306,00 
2000;183667;2023;03/11/2023;VF;1;PR034;VD033;18; R$ 1.747,66 ; R$ 1.747,66 
1000;183668;2023;03/11/2023;VF;1;PR010;VD034;12; R$ 538,80 ; R$ 538,80 
2000;183668;2023;03/11/2023;VF;2;PR058;VD031;10; R$ 1.890,00 ; R$ 1.890,00 
2000;183668;2023;03/11/2023;VF;3;PR012;VD015;2; R$ 103,67 ; R$ 103,67 
1000;183669;2023;03/11/2023;VF;1;PR004;VD031;1; R$ 149,35 ; R$ 149,35 
1000;183670;2023;03/11/2023;VF;1;PR027;VD030;6; R$ 770,40 ; R$ 770,40 
1000;183671;2023;03/11/2023;VF;1;PR020;VD032;18; R$ 5.668,11 ; R$ 5.668,11 
1000;183671;2023;03/11/2023;VF;2;PR016;VD032;12; R$ 320,12 ; R$ 320,12 
1000;183671;2023;03/11/2023;VF;3;PR056;VD015;1; R$ 96,19 ; R$ 96,19 
1000;183672;2023;03/11/2023;VF;1;PR017;VD016;8; R$ 241,59 ; R$ 241,59 
1000;183672;2023;03/11/2023;VF;2;PR001;VD044;6; R$ 403,31 ; R$ 403,31 
1000;183673;2023;02/11/2023;VF;1;PR059;VD042;21; R$ 3.817,80 ; R$ 3.817,80 
1000;183673;2023;02/11/2023;VF;2;PR039;VD013;3; R$ 438,00 ; R$ 438,00 
1000;183674;2023;02/11/2023;VF;1;PR035;VD011;4; R$ 383,88 ; R$ 383,88 
1000;183675;2023;02/11/2023;VF;1;PR051;VD041;30; R$ 1.026,48 ; R$ 1.026,48 
2000;183676;2023;02/11/2023;VF;1;PR047;VD034;6; R$ 1.774,19 ; R$ 1.774,19 
2000;183676;2023;02/11/2023;VF;2;PR008;VD025;12; R$ 1.121,95 ; R$ 1.121,95 
2000;183676;2023;01/11/2023;VF;3;PR045;VD035;8; R$ 609,00 ; R$ 609,00 
1000;183677;2023;01/11/2023;VF;1;PR029;VD043;21; R$ 5.462,10 ; R$ 5.462,10 
2000;183678;2023;01/11/2023;VF;1;PR054;VD015;2; R$ 105,79 ; R$ 105,79 
1000;183679;2023;01/11/2023;VF;1;PR033;VD025;4; R$ 1.133,16 ; R$ 1.133,16 
1000;183680;2023;31/10/2023;VF;1;PR001;VD021;6; R$ 430,99 ; R$ 430,99 
1000;183681;2023;31/10/2023;VF;1;PR010;VD029;3; R$ 134,70 ; R$ 134,70 
1000;183681;2023;31/10/2023;VF;2;PR005;VD038;10; R$ 2.728,95 ; R$ 2.728,95 
1000;183682;2023;31/10/2023;VF;1;PR040;VD045;21; R$ 1.543,50 ; R$ 1.543,50 
1000;183683;2023;31/10/2023;VF;1;PR017;VD029;27; R$ 815,37 ; R$ 815,37 
1000;183683;2023;31/10/2023;VF;2;PR045;VD041;10; R$ 768,50 ; R$ 768,50 
1000;183684;2023;31/10/2023;VF;1;PR014;VD018;27; R$ 1.141,94 ; R$ 1.141,94 
1000;183685;2023;30/10/2023;VF;1;PR028;VD015;15; R$ 3.785,99 ; R$ 3.785,99 
1000;183686;2023;30/10/2023;VF;1;PR046;VD021;14; R$ 4.180,36 ; R$ 4.180,36 
1000;183687;2023;30/10/2023;VF;1;PR043;VD015;20; R$ 1.595,00 ; R$ 1.595,00 
1000;183688;2023;29/10/2023;VF;1;PR030;VD017;18; R$ 4.865,33 ; R$ 4.865,33 
1000;183688;2023;29/10/2023;VF;2;PR047;VD024;24; R$ 7.027,18 ; R$ 7.027,18 
1000;183689;2023;29/10/2023;VF;1;PR010;VD028;2; R$ 95,19 ; R$ 95,19 
2000;183689;2023;29/10/2023;VF;2;PR001;VD035;1; R$ 72,49 ; R$ 72,49 
2000;183690;2023;28/10/2023;VF;1;PR014;VD030;9; R$ 377,06 ; R$ 377,06 
2000;183691;2023;28/10/2023;VF;1;PR041;VD042;2; R$ 109,80 ; R$ 109,80 
1000;183691;2023;28/10/2023;VF;2;PR037;VD028;8; R$ 1.187,20 ; R$ 1.187,20 
1000;183692;2023;27/10/2023;VF;1;PR003;VD048;3; R$ 227,59 ; R$ 227,59 
1000;183692;2023;27/10/2023;VF;2;PR006;VD012;3; R$ 122,09 ; R$ 122,09 
1000;183692;2023;27/10/2023;VF;3;PR012;VD023;16; R$ 805,87 ; R$ 805,87 
1000;183692;2023;27/10/2023;VF;4;PR028;VD015;2; R$ 549,78 ; R$ 549,78 
1000;183693;2023;27/10/2023;VF;1;PR043;VD031;6; R$ 443,70 ; R$ 443,70 
1000;183693;2023;27/10/2023;VF;2;PR031;VD023;8; R$ 1.999,20 ; R$ 1.999,20 
1000;183694;2023;27/10/2023;VF;1;PR005;VD030;15; R$ 4.210,38 ; R$ 4.210,38 
1000;183695;2023;27/10/2023;VF;1;PR051;VD041;5; R$ 171,08 ; R$ 171,08 
1000;183696;2023;27/10/2023;VF;1;PR018;VD028;12; R$ 430,33 ; R$ 430,33 
2000;183697;2023;27/10/2023;VF;1;PR016;VD042;5; R$ 138,57 ; R$ 138,57 
1000;183698;2023;27/10/2023;VF;1;PR048;VD019;2; R$ 614,59 ; R$ 614,59 
1000;183699;2023;27/10/2023;VF;1;PR036;VD036;16; R$ 1.630,64 ; R$ 1.630,64 
1000;183700;2023;27/10/2023;VF;1;PR023;VD032;8; R$ 2.199,12 ; R$ 2.199,12 
1000;183701;2023;27/10/2023;VF;1;PR038;VD032;15; R$ 2.357,85 ; R$ 2.357,85 
1000;183701;2023;26/10/2023;VF;2;PR037;VD025;27; R$ 3.780,00 ; R$ 3.780,00 
1000;183701;2023;26/10/2023;VF;3;PR020;VD016;12; R$ 3.778,74 ; R$ 3.778,74 
2000;183702;2023;26/10/2023;VF;1;PR049;VD017;21; R$ 753,08 ; R$ 753,08 
1000;183703;2023;26/10/2023;VF;1;PR007;VD029;18; R$ 1.561,66 ; R$ 1.561,66 
1000;183704;2023;26/10/2023;VF;1;PR056;VD043;3; R$ 272,40 ; R$ 272,40 
2000;183704;2023;26/10/2023;VF;2;PR019;VD039;20; R$ 1.057,88 ; R$ 1.057,88 
1000;183704;2023;26/10/2023;VF;3;PR015;VD046;3; R$ 135,15 ; R$ 135,15 
1000;183704;2023;26/10/2023;VF;4;PR019;VD043;21; R$ 1.100,30 ; R$ 1.100,30 
1000;183705;2023;26/10/2023;VF;1;PR043;VD031;9; R$ 698,18 ; R$ 698,18 
2000;183705;2023;26/10/2023;VF;2;PR038;VD015;12; R$ 1.869,13 ; R$ 1.869,13 
1000;183706;2023;26/10/2023;VF;1;PR050;VD042;1; R$ 33,89 ; R$ 33,89 
1000;183707;2023;25/10/2023;VF;1;PR005;VD022;6; R$ 1.574,99 ; R$ 1.574,99 
1000;183708;2023;25/10/2023;VF;1;PR018;VD047;6; R$ 197,40 ; R$ 197,40 
2000;183709;2023;24/10/2023;VF;1;PR057;VD043;1; R$ 96,19 ; R$ 96,19 
1000;183709;2023;24/10/2023;VF;2;PR010;VD042;16; R$ 732,77 ; R$ 732,77 
1000;183710;2023;24/10/2023;VF;1;PR001;VD034;6; R$ 419,12 ; R$ 419,12 
1000;183711;2023;24/10/2023;VF;1;PR036;VD046;7; R$ 706,86 ; R$ 706,86 
1000;183712;2023;23/10/2023;VF;1;PR051;VD026;20; R$ 704,06 ; R$ 704,06 
1000;183712;2023;23/10/2023;VF;2;PR030;VD036;21; R$ 5.457,90 ; R$ 5.457,90 
1000;183713;2023;22/10/2023;VF;1;PR045;VD039;18; R$ 1.409,40 ; R$ 1.409,40 
1000;183714;2023;22/10/2023;VF;1;PR025;VD013;6; R$ 1.817,39 ; R$ 1.817,39 
1000;183715;2023;21/10/2023;VF;1;PR025;VD043;16; R$ 4.990,34 ; R$ 4.990,34 
1000;183715;2023;21/10/2023;VF;2;PR047;VD011;3; R$ 913,19 ; R$ 913,19 
1000;183716;2023;21/10/2023;VF;1;PR060;VD044;6; R$ 1.101,60 ; R$ 1.101,60 
1000;183716;2023;21/10/2023;VF;2;PR012;VD022;27; R$ 1.333,50 ; R$ 1.333,50 
1000;183716;2023;20/10/2023;VF;3;PR009;VD019;2; R$ 185,80 ; R$ 185,80 
1000;183717;2023;20/10/2023;VF;1;PR010;VD041;5; R$ 237,97 ; R$ 237,97 
1000;183718;2023;20/10/2023;VF;1;PR049;VD049;4; R$ 143,44 ; R$ 143,44 
2000;183719;2023;19/10/2023;VF;1;PR016;VD044;6; R$ 161,62 ; R$ 161,62 
2000;183719;2023;19/10/2023;VF;2;PR008;VD033;27; R$ 2.548,67 ; R$ 2.548,67 
1000;183720;2023;19/10/2023;VF;1;PR018;VD033;1; R$ 34,87 ; R$ 34,87 
2000;183720;2023;19/10/2023;VF;2;PR017;VD013;9; R$ 293,32 ; R$ 293,32 
1000;183721;2023;19/10/2023;VF;1;PR050;VD030;6; R$ 205,30 ; R$ 205,30 
1000;183722;2023;19/10/2023;VF;1;PR018;VD040;20; R$ 671,16 ; R$ 671,16 
1000;183722;2023;18/10/2023;VF;2;PR001;VD045;9; R$ 634,62 ; R$ 634,62 
1000;183723;2023;18/10/2023;VF;1;PR053;VD033;6; R$ 314,37 ; R$ 314,37 
1000;183724;2023;18/10/2023;VF;1;PR011;VD046;8; R$ 375,20 ; R$ 375,20 
2000;183724;2023;18/10/2023;VF;2;PR036;VD044;9; R$ 849,92 ; R$ 849,92 
2000;183725;2023;18/10/2023;VF;1;PR007;VD035;8; R$ 700,94 ; R$ 700,94 
1000;183725;2023;18/10/2023;VF;2;PR017;VD013;2; R$ 62,79 ; R$ 62,79 
1000;183726;2023;18/10/2023;VF;1;PR029;VD022;24; R$ 6.364,80 ; R$ 6.364,80 
2000;183727;2023;18/10/2023;VF;1;PR049;VD046;2; R$ 71,72 ; R$ 71,72 
1000;183728;2023;18/10/2023;VF;1;PR036;VD035;18; R$ 1.783,98 ; R$ 1.783,98 
1000;183729;2023;18/10/2023;VF;1;PR039;VD047;14; R$ 2.227,96 ; R$ 2.227,96 
1000;183730;2023;17/10/2023;VF;1;PR043;VD049;8; R$ 585,80 ; R$ 585,80 
1000;183731;2023;17/10/2023;VF;1;PR039;VD036;7; R$ 1.124,20 ; R$ 1.124,20 
2000;183732;2023;16/10/2023;VF;1;PR039;VD032;2; R$ 312,44 ; R$ 312,44 
1000;183732;2023;16/10/2023;VF;2;PR043;VD038;3; R$ 221,85 ; R$ 221,85 
1000;183733;2023;15/10/2023;VF;1;PR005;VD021;14; R$ 3.893,30 ; R$ 3.893,30 
1000;183733;2023;15/10/2023;VF;2;PR012;VD047;2; R$ 101,71 ; R$ 101,71 
2000;183733;2023;15/10/2023;VF;3;PR039;VD042;2; R$ 292,00 ; R$ 292,00 
2000;183734;2023;15/10/2023;VF;1;PR040;VD038;2; R$ 145,60 ; R$ 145,60 
1000;183735;2023;14/10/2023;VF;1;PR053;VD031;10; R$ 523,95 ; R$ 523,95 
1000;183736;2023;14/10/2023;VF;1;PR033;VD030;10; R$ 2.858,90 ; R$ 2.858,90 
2000;183736;2023;14/10/2023;VF;2;PR045;VD026;12; R$ 913,50 ; R$ 913,50 
2000;183737;2023;14/10/2023;VF;1;PR012;VD042;10; R$ 498,78 ; R$ 498,78 
1000;183738;2023;13/10/2023;VF;1;PR002;VD037;3; R$ 215,99 ; R$ 215,99 
1000;183739;2023;13/10/2023;VF;1;PR024;VD023;9; R$ 2.549,62 ; R$ 2.549,62 
1000;183740;2023;13/10/2023;VF;1;PR039;VD028;4; R$ 601,52 ; R$ 601,52 
1000;183741;2023;13/10/2023;VF;1;PR058;VD028;3; R$ 594,00 ; R$ 594,00 
1000;183742;2023;12/10/2023;VF;1;PR027;VD040;14; R$ 1.730,40 ; R$ 1.730,40 
1000;183743;2023;12/10/2023;VF;1;PR003;VD029;24; R$ 1.769,66 ; R$ 1.769,66 
1000;183744;2023;12/10/2023;VF;1;PR032;VD016;4; R$ 1.060,00 ; R$ 1.060,00 
2000;183745;2023;12/10/2023;VF;1;PR049;VD015;12; R$ 406,64 ; R$ 406,64 
1000;183746;2023;12/10/2023;VF;1;PR011;VD016;18; R$ 903,29 ; R$ 903,29 
1000;183746;2023;11/10/2023;VF;2;PR015;VD028;1; R$ 42,93 ; R$ 42,93 
1000;183747;2023;11/10/2023;VF;1;PR025;VD025;16; R$ 4.942,35 ; R$ 4.942,35 
2000;183748;2023;11/10/2023;VF;1;PR023;VD047;2; R$ 539,78 ; R$ 539,78 
1000;183748;2023;11/10/2023;VF;2;PR031;VD035;9; R$ 2.337,30 ; R$ 2.337,30 
1000;183748;2023;10/10/2023;VF;3;PR004;VD030;5; R$ 768,50 ; R$ 768,50 
1000;183749;2023;10/10/2023;VF;1;PR001;VD037;4; R$ 263,60 ; R$ 263,60 
1000;183750;2023;10/10/2023;VF;1;PR006;VD025;8; R$ 328,78 ; R$ 328,78 
1000;183751;2023;10/10/2023;VF;1;PR019;VD030;6; R$ 299,40 ; R$ 299,40 
1000;183752;2023;10/10/2023;VF;1;PR048;VD037;6; R$ 1.861,16 ; R$ 1.861,16 
2000;183753;2023;10/10/2023;VF;1;PR060;VD032;30; R$ 5.832,00 ; R$ 5.832,00 
1000;183754;2023;10/10/2023;VF;1;PR045;VD041;7; R$ 553,18 ; R$ 553,18 
1000;183755;2023;09/10/2023;VF;1;PR003;VD012;27; R$ 1.914,30 ; R$ 1.914,30 
1000;183756;2023;09/10/2023;VF;1;PR056;VD030;12; R$ 1.089,59 ; R$ 1.089,59 
1000;183757;2023;09/10/2023;VF;1;PR033;VD014;10; R$ 2.702,96 ; R$ 2.702,96 
1000;183758;2023;09/10/2023;VF;1;PR041;VD014;20; R$ 1.108,98 ; R$ 1.108,98 
1000;183759;2023;09/10/2023;VF;1;PR004;VD011;10; R$ 1.464,50 ; R$ 1.464,50 
1000;183760;2023;09/10/2023;VF;1;PR007;VD020;9; R$ 850,41 ; R$ 850,41 
1000;183761;2023;09/10/2023;VF;1;PR046;VD015;9; R$ 2.713,46 ; R$ 2.713,46 
1000;183762;2023;09/10/2023;VF;1;PR024;VD011;3; R$ 834,28 ; R$ 834,28 
2000;183763;2023;09/10/2023;VF;1;PR047;VD033;1; R$ 307,29 ; R$ 307,29 
1000;183764;2023;09/10/2023;VF;1;PR032;VD025;16; R$ 4.080,00 ; R$ 4.080,00 
1000;183765;2023;09/10/2023;VF;1;PR020;VD015;10; R$ 3.088,97 ; R$ 3.088,97 
1000;183766;2023;09/10/2023;VF;1;PR006;VD012;15; R$ 634,41 ; R$ 634,41 
1000;183767;2023;09/10/2023;VF;1;PR031;VD034;9; R$ 2.227,05 ; R$ 2.227,05 
1000;183767;2023;08/10/2023;VF;2;PR052;VD044;12; R$ 658,68 ; R$ 658,68 
1000;183767;2023;08/10/2023;VF;3;PR050;VD018;14; R$ 502,05 ; R$ 502,05 
1000;183768;2023;08/10/2023;VF;1;PR042;VD018;4; R$ 228,38 ; R$ 228,38 
2000;183769;2023;08/10/2023;VF;1;PR006;VD021;8; R$ 347,93 ; R$ 347,93 
1000;183770;2023;08/10/2023;VF;1;PR016;VD017;12; R$ 341,88 ; R$ 341,88 
1000;183771;2023;08/10/2023;VF;1;PR015;VD034;5; R$ 233,75 ; R$ 233,75 
1000;183772;2023;08/10/2023;VF;1;PR003;VD041;5; R$ 361,59 ; R$ 361,59 
1000;183773;2023;08/10/2023;VF;1;PR007;VD025;1; R$ 88,48 ; R$ 88,48 
2000;183773;2023;08/10/2023;VF;2;PR031;VD046;4; R$ 1.078,00 ; R$ 1.078,00 
1000;183774;2023;08/10/2023;VF;1;PR037;VD021;4; R$ 604,80 ; R$ 604,80 
1000;183775;2023;08/10/2023;VF;1;PR043;VD036;27; R$ 2.074,95 ; R$ 2.074,95 
2000;183776;2023;08/10/2023;VF;1;PR038;VD036;12; R$ 1.817,69 ; R$ 1.817,69 
1000;183777;2023;08/10/2023;VF;1;PR048;VD032;9; R$ 2.817,83 ; R$ 2.817,83 
1000;183778;2023;08/10/2023;VF;1;PR051;VD039;15; R$ 537,92 ; R$ 537,92 
2000;183779;2023;08/10/2023;VF;1;PR047;VD039;8; R$ 2.504,74 ; R$ 2.504,74 
1000;183780;2023;07/10/2023;VF;1;PR014;VD017;5; R$ 217,46 ; R$ 217,46 
1000;183781;2023;07/10/2023;VF;1;PR009;VD010;5; R$ 478,44 ; R$ 478,44 
1000;183782;2023;07/10/2023;VF;1;PR029;VD014;6; R$ 1.575,90 ; R$ 1.575,90 
1000;183782;2023;07/10/2023;VF;2;PR019;VD020;6; R$ 317,36 ; R$ 317,36 
1000;183783;2023;06/10/2023;VF;1;PR007;VD028;14; R$ 1.226,65 ; R$ 1.226,65 
1000;183784;2023;06/10/2023;VF;1;PR032;VD033;30; R$ 7.950,00 ; R$ 7.950,00 
2000;183785;2023;05/10/2023;VF;1;PR052;VD037;16; R$ 870,26 ; R$ 870,26 
2000;183786;2023;05/10/2023;VF;1;PR055;VD036;1; R$ 89,90 ; R$ 89,90 
1000;183786;2023;05/10/2023;VF;2;PR027;VD019;8; R$ 988,80 ; R$ 988,80 
1000;183787;2023;05/10/2023;VF;1;PR034;VD048;30; R$ 2.777,91 ; R$ 2.777,91 
1000;183787;2023;05/10/2023;VF;2;PR028;VD042;3; R$ 749,70 ; R$ 749,70 
1000;183788;2023;05/10/2023;VF;1;PR039;VD023;9; R$ 1.445,40 ; R$ 1.445,40 
1000;183789;2023;04/10/2023;VF;1;PR053;VD024;6; R$ 308,38 ; R$ 308,38 
1000;183789;2023;04/10/2023;VF;2;PR032;VD011;27; R$ 7.020,00 ; R$ 7.020,00 
2000;183790;2023;04/10/2023;VF;1;PR027;VD030;3; R$ 381,60 ; R$ 381,60 
1000;183791;2023;04/10/2023;VF;1;PR049;VD017;24; R$ 868,56 ; R$ 868,56 
1000;183792;2023;03/10/2023;VF;1;PR050;VD018;30; R$ 987,00 ; R$ 987,00 
2000;183793;2023;03/10/2023;VF;1;PR051;VD021;9; R$ 302,02 ; R$ 302,02 
1000;183794;2023;03/10/2023;VF;1;PR031;VD018;12; R$ 3.175,20 ; R$ 3.175,20 
2000;183795;2023;03/10/2023;VF;1;PR017;VD014;6; R$ 197,34 ; R$ 197,34 
1000;183796;2023;03/10/2023;VF;1;PR044;VD025;1; R$ 76,13 ; R$ 76,13 
1000;183797;2023;02/10/2023;VF;1;PR018;VD019;3; R$ 98,70 ; R$ 98,70 
1000;183798;2023;02/10/2023;VF;1;PR010;VD042;10; R$ 489,41 ; R$ 489,41 
1000;183799;2023;01/10/2023;VF;1;PR041;VD032;10; R$ 554,49 ; R$ 554,49 
1000;183799;2023;01/10/2023;VF;2;PR050;VD042;2; R$ 68,43 ; R$ 68,43 
2000;183800;2023;01/10/2023;VF;1;PR022;VD031;10; R$ 3.270,00 ; R$ 3.270,00 
1000;183800;2023;01/10/2023;VF;2;PR048;VD016;16; R$ 5.009,47 ; R$ 5.009,47 
1000;183800;2023;01/10/2023;VF;3;PR028;VD041;16; R$ 4.038,38 ; R$ 4.038,38 
1000;183801;2023;01/10/2023;VF;1;PR002;VD027;2; R$ 153,78 ; R$ 153,78 
1000;183802;2023;01/10/2023;VF;1;PR043;VD046;2; R$ 146,45 ; R$ 146,45 
1000;183802;2023;01/10/2023;VF;2;PR033;VD042;10; R$ 2.832,91 ; R$ 2.832,91 
1000;183803;2023;01/10/2023;VF;1;PR041;VD020;7; R$ 388,14 ; R$ 388,14 
1000;183804;2023;01/10/2023;VF;1;PR030;VD045;5; R$ 1.312,50 ; R$ 1.312,50 
2000;183804;2023;01/10/2023;VF;2;PR060;VD032;6; R$ 1.090,80 ; R$ 1.090,80 
1000;183804;2023;01/10/2023;VF;3;PR051;VD034;20; R$ 658,00 ; R$ 658,00 
1000;183805;2023;01/10/2023;VF;1;PR005;VD011;10; R$ 2.676,97 ; R$ 2.676,97 
1000;183806;2023;01/10/2023;VF;1;PR013;VD012;20; R$ 845,88 ; R$ 845,88 
2000;183806;2023;30/09/2023;VF;2;PR037;VD039;14; R$ 1.979,60 ; R$ 1.979,60 
1000;183806;2023;30/09/2023;VF;3;PR032;VD022;16; R$ 4.160,00 ; R$ 4.160,00 
1000;183807;2023;29/09/2023;VF;1;PR052;VD045;5; R$ 269,46 ; R$ 269,46 
1000;183808;2023;29/09/2023;VF;1;PR038;VD020;2; R$ 305,81 ; R$ 305,81 
1000;183809;2023;29/09/2023;VF;1;PR049;VD029;9; R$ 310,91 ; R$ 310,91 
1000;183809;2023;29/09/2023;VF;2;PR022;VD015;12; R$ 3.672,00 ; R$ 3.672,00 
1000;183810;2023;29/09/2023;VF;1;PR015;VD020;10; R$ 442,00 ; R$ 442,00 
1000;183811;2023;29/09/2023;VF;1;PR039;VD020;9; R$ 1.445,40 ; R$ 1.445,40 
1000;183811;2023;28/09/2023;VF;2;PR035;VD017;14; R$ 1.343,58 ; R$ 1.343,58 
1000;183812;2023;28/09/2023;VF;1;PR025;VD012;3; R$ 962,68 ; R$ 962,68 
2000;183813;2023;28/09/2023;VF;1;PR027;VD031;8; R$ 969,60 ; R$ 969,60 
2000;183814;2023;27/09/2023;VF;1;PR020;VD022;6; R$ 1.853,38 ; R$ 1.853,38 
1000;183815;2023;27/09/2023;VF;1;PR050;VD047;8; R$ 289,52 ; R$ 289,52 
1000;183815;2023;26/09/2023;VF;2;PR053;VD041;5; R$ 274,45 ; R$ 274,45 
1000;183816;2023;26/09/2023;VF;1;PR042;VD018;14; R$ 822,40 ; R$ 822,40 
2000;183816;2023;25/09/2023;VF;2;PR041;VD049;6; R$ 352,46 ; R$ 352,46 
1000;183816;2023;25/09/2023;VF;3;PR043;VD032;2; R$ 155,15 ; R$ 155,15 
1000;183817;2023;25/09/2023;VF;1;PR006;VD044;8; R$ 341,54 ; R$ 341,54 
1000;183817;2023;25/09/2023;VF;2;PR058;VD018;4; R$ 792,00 ; R$ 792,00 
1000;183817;2023;25/09/2023;VF;3;PR038;VD032;4; R$ 600,18 ; R$ 600,18 
1000;183818;2023;25/09/2023;VF;1;PR022;VD026;9; R$ 2.916,00 ; R$ 2.916,00 
1000;183819;2023;25/09/2023;VF;1;PR035;VD046;5; R$ 479,85 ; R$ 479,85 
1000;183819;2023;25/09/2023;VF;2;PR015;VD032;5; R$ 223,13 ; R$ 223,13 
2000;183820;2023;25/09/2023;VF;1;PR020;VD021;9; R$ 2.753,08 ; R$ 2.753,08 
2000;183820;2023;25/09/2023;VF;2;PR011;VD014;9; R$ 455,87 ; R$ 455,87 
1000;183821;2023;24/09/2023;VF;1;PR050;VD040;1; R$ 33,56 ; R$ 33,56 
1000;183821;2023;24/09/2023;VF;2;PR046;VD019;4; R$ 1.263,96 ; R$ 1.263,96 
1000;183822;2023;24/09/2023;VF;1;PR016;VD012;2; R$ 53,35 ; R$ 53,35 
1000;183822;2023;24/09/2023;VF;2;PR041;VD049;1; R$ 59,84 ; R$ 59,84 
1000;183822;2023;24/09/2023;VF;3;PR037;VD038;14; R$ 1.960,00 ; R$ 1.960,00 
1000;183823;2023;24/09/2023;VF;1;PR019;VD018;4; R$ 213,57 ; R$ 213,57 
1000;183824;2023;24/09/2023;VF;1;PR052;VD043;7; R$ 356,29 ; R$ 356,29 
1000;183825;2023;24/09/2023;VF;1;PR011;VD042;1; R$ 50,65 ; R$ 50,65 
1000;183826;2023;24/09/2023;VF;1;PR058;VD048;8; R$ 1.526,40 ; R$ 1.526,40 
1000;183827;2023;23/09/2023;VF;1;PR042;VD024;3; R$ 169,64 ; R$ 169,64 
1000;183827;2023;23/09/2023;VF;2;PR009;VD037;6; R$ 568,55 ; R$ 568,55 
1000;183828;2023;23/09/2023;VF;1;PR017;VD043;2; R$ 65,18 ; R$ 65,18 
1000;183829;2023;22/09/2023;VF;1;PR009;VD025;5; R$ 478,44 ; R$ 478,44 
2000;183829;2023;22/09/2023;VF;2;PR026;VD033;12; R$ 4.324,76 ; R$ 4.324,76 
2000;183829;2023;21/09/2023;VF;3;PR058;VD046;3; R$ 577,80 ; R$ 577,80 
1000;183829;2023;21/09/2023;VF;4;PR011;VD039;2; R$ 99,43 ; R$ 99,43 
2000;183830;2023;21/09/2023;VF;1;PR030;VD027;8; R$ 2.079,20 ; R$ 2.079,20 
1000;183831;2023;21/09/2023;VF;1;PR032;VD031;20; R$ 5.300,00 ; R$ 5.300,00 
2000;183832;2023;21/09/2023;VF;1;PR039;VD021;2; R$ 292,00 ; R$ 292,00 
1000;183832;2023;21/09/2023;VF;2;PR045;VD017;20; R$ 1.537,00 ; R$ 1.537,00 
1000;183833;2023;21/09/2023;VF;1;PR035;VD045;6; R$ 586,79 ; R$ 586,79 
1000;183834;2023;20/09/2023;VF;1;PR008;VD015;9; R$ 809,10 ; R$ 809,10 
2000;183835;2023;20/09/2023;VF;1;PR037;VD045;4; R$ 571,20 ; R$ 571,20 
1000;183836;2023;20/09/2023;VF;1;PR055;VD047;9; R$ 841,46 ; R$ 841,46 
1000;183837;2023;19/09/2023;VF;1;PR022;VD034;10; R$ 3.120,00 ; R$ 3.120,00 
1000;183838;2023;19/09/2023;VF;1;PR029;VD047;4; R$ 1.030,20 ; R$ 1.030,20 
1000;183839;2023;19/09/2023;VF;1;PR006;VD010;10; R$ 430,92 ; R$ 430,92 
1000;183839;2023;19/09/2023;VF;2;PR003;VD017;12; R$ 935,88 ; R$ 935,88 
1000;183840;2023;19/09/2023;VF;1;PR017;VD025;1; R$ 29,90 ; R$ 29,90 
